lat,long,city,country,max temp,humidity,cloudiness,wind speed,date
-54.8,-68.3,ushuaia,ar,42.8,52.0,75.0,16.11,1599706358
-33.65,115.33,busselton,au,57.0,67.0,0.0,5.99,1599706647
-25.17,45.05,beloha,mg,70.97,64.0,48.0,10.02,1599706937
28.32,109.72,jishou,cn,80.22,79.0,79.0,1.92,1599706938
8.57,81.23,trincomalee,lk,83.71,71.0,91.0,18.12,1599706858
-2.57,150.8,kavieng,pg,85.05,69.0,29.0,8.99,1599706665
-21.2,-175.2,vaini,to,75.2,100.0,90.0,16.11,1599706653
-53.15,-70.92,punta arenas,cl,41.0,75.0,100.0,6.93,1599706644
-89.81260081582136,63.129746878881804,taolanaro,mg,,,,,
16.661054918190487,-13.212514780812796,thilogne,sn,,,,,
-42.78,147.06,new norfolk,au,62.01,45.0,0.0,1.99,1599706678
22.08,-159.32,kapaa,us,86.0,62.0,40.0,16.11,1599706670
73.51,80.55,dikson,ru,43.02,94.0,100.0,17.58,1599706647
32.65,110.78,shiyan,cn,71.6,82.0,100.0,1.12,1599706940
38.52,-28.7,ribeira grande,pt,72.0,84.0,2.0,14.79,1599706653
46.62,10.7,lasa,cn,57.99,100.0,5.0,3.36,1599706694
55.01,57.99,kropachevo,ru,51.46,88.0,100.0,3.4,1599706940
-0.74,-90.35,puerto ayora,ec,66.0,94.0,71.0,3.0,1599706682
72.07864841448423,-17.883659842803752,illoqqortoormiut,gl,,,,,
-46.6,168.33,bluff,nz,50.0,78.0,96.0,14.0,1599706645
-24.32,-47.0,peruibe,br,67.26,92.0,95.0,3.0,1599706652
-27.91,25.16,christiana,za,54.86,39.0,0.0,4.07,1599706941
42.73,133.08,vrangel,ru,69.64,70.0,32.0,9.48,1599706942
-10.45,161.92,kirakira,sb,81.95,69.0,100.0,9.66,1599706942
3.07,172.79,butaritari,ki,83.52,76.0,10.0,16.42,1599706649
-33.01,17.94,saldanha,za,57.45,85.0,0.0,24.16,1599706674
-33.37,116.15,collie,au,55.99,62.0,0.0,13.0,1599706943
-16.48,-151.75,faanui,pf,78.87,70.0,17.0,7.23,1599706647
-13.88,167.55,sola,vu,77.76,75.0,52.0,13.94,1599706943
44.08,-80.2,shelburne,ca,57.99,93.0,90.0,6.4,1599706880
26.56,67.72,bhan,pk,91.18,52.0,0.0,5.14,1599706943
17.65,83.27,yarada,in,86.0,79.0,40.0,5.82,1599706944
-37.62,-73.65,lebu,cl,51.15,86.0,62.0,15.75,1599706698
-2.752947218137365,-178.07633316613058,vaitupu,wf,,,,,
-33.7,-53.46,chuy,uy,58.41,98.0,71.0,6.58,1599706680
69.53,31.17,pechenga,ru,41.0,93.0,0.0,10.29,1599706944
58.21,-6.39,stornoway,gb,50.0,93.0,69.0,5.82,1599706945
-0.6,73.08,hithadhoo,mv,80.44,80.0,98.0,16.93,1599706652
42.6,-73.97,albany,au,73.0,84.0,56.0,3.71,1599706646
69.47,25.51,karasjok,no,39.2,93.0,0.0,3.36,1599706945
7.04,134.26,kloulklubed,pw,84.16,67.0,0.0,2.86,1599706651
34.37,107.36,guozhen,cn,71.49,67.0,89.0,2.24,1599706945
-2.5,-66.27,fonte boa,br,79.88,66.0,59.0,2.66,1599706946
-24.63,17.97,mariental,na,62.96,29.0,0.0,7.31,1599706946
34.57,105.89,beidao,cn,71.26,59.0,27.0,1.81,1599706946
-42.88,147.33,hobart,au,62.01,44.0,20.0,4.7,1599706654
1.74,98.78,sibolga,id,81.27,72.0,93.0,1.68,1599706681
36.62,101.77,xining,cn,61.99,53.0,89.0,0.36,1599706948
-21.21,-159.78,avarua,ck,73.4,78.0,92.0,11.41,1599706684
-24.87,113.63,carnarvon,au,73.4,69.0,1.0,14.99,1599706564
85.60462562700843,61.38130482987691,amderma,ru,,,,,
-24.79,-50.01,castro,cl,63.1,83.0,100.0,3.22,1599706646
-45.42,167.72,te anau,nz,46.78,71.0,57.0,3.6,1599706894
-12.74,-60.15,vilhena,br,78.42,28.0,0.0,3.09,1599706949
-5.09,-81.11,paita,pe,62.42,86.0,13.0,12.15,1599706949
49.03,104.08,erdenet,mn,59.16,79.0,65.0,5.32,1599706892
22.29,114.16,victoria,sc,82.0,88.0,88.0,4.0,1599706411
32.67,-17.1,ponta do sol,cv,73.4,69.0,20.0,20.8,1599706949
-33.93,18.42,cape town,za,57.2,82.0,20.0,21.92,1599706629
-34.42,19.23,hermanus,za,55.0,94.0,96.0,14.76,1599706648
47.17,-55.15,marystown,ca,63.0,100.0,83.0,7.47,1599706950
70.63,147.92,chokurdakh,ru,52.52,50.0,87.0,8.48,1599706656
